row,tree,plot
1,2,1
1,3,1
1,4,1
1,6,2
1,7,2
1,8,2
1,16,3
1,17,3
1,18,3
1,23,4
1,24,4
1,25,4
1,30,5
1,31,5
1,32,5
2,2,6
2,3,6
2,4,6
2,5,7
2,6,7
2,7,7
2,9,8
2,10,8
2,11,8
2,13,9
2,14,9
2,15,9
2,18,10
2,19,10
2,20,10
2,24,11
2,25,11
2,26,11
2,29,12
2,30,12
2,31,12
3,2,13
3,3,13
3,4,13
3,8,14
3,9,14
3,10,14
3,12,15
3,13,15
3,14,15
3,16,16
3,17,16
3,18,16
3,20,17
3,21,17
3,22,17
3,28,18
3,29,18
3,30,18
3,32,19
3,33,19
3,34,19
3,36,20
3,37,20
3,38,20
